ID,Hora de inicio,Hora de finalización,Email,Estudias,Pais,Estado,Ciudad,Nacionalidad,Año,Sexo,Genero ,Estudios,Tipo de Migrante,Residencia,Origen,Procedencia,País3,Estado4,Año 2,Razones,Estatus,Año 3,Pertenencia,Grupo,Discriminación,Contactos,Red,Bienestar 1,Bienestar 2,Bienestar 3,Bienstar 4,Bienestar 5,Bienestar 6,Acciones,Culminar,Justificación,Permanencia
47,8/15/25 11:54:33,8/15/25 12:01:27,anonymous,Si,Mexico,Puebla.,Tehuacan,Mexicana.,2007,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),Mexico,Puebla,2025,Estudios,Con amistades,2025,Neutro,Si,No,Si,Suficiente.,Muy bien,Bien,Bien,Bien,Bien,Mal,"Juntar a las personas de un mismo lugar de origen, para que no se sientan solas desde un inicio, por si les cuesta socializar con personas nuevas.",Si,Por todas las oportunidades o beneficios que ofrece esta universidad.,Si
48,8/15/25 11:48:21,8/15/25 12:01:37,anonymous,Si,Mexico,CDMX,Ciudad de México,Mexicana,2006,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,CDMX,2019,Trabajo,Con familia,2025,De acuerdo,Si,No,Si,"Super, ya tenía una conocida y me he sentido incluida, aunque considero de importancia que haya más grupos y/o actividades que me ayuden a conocer a más personas de diferentes áreas y tener siempre una cara conocida, no solo por mí, sino por las personas que empiezan desde cero.",Muy bien,Neutro,Bien,Bien,Bien,Bien,"Actividades para conocer a personas de todas las áreas, como grupos en donde se concentren en conocer interactuar, sobre todo turnándose para poder conocer a cada quien un poco más a fondo sin que sea la actitud externa social que se da en grupo comúnmente.",Si,"me gusta mucho el campus, aunque también consideraría la expansión de horizontes, aunque no sé si la pregunta refiere a terminar la carrera completa en el campus Puebla o a salir de la universidad en campus puebla.",Si
49,8/15/25 11:55:19,8/15/25 12:03:03,anonymous,Si,Mexico,Puebla ,Puebla ,México ,2006,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),NA,Puebla,2024,Estudios,Solo(a),2024,Completamente de acuerdo,Si,No,Si,"Buena, ya que todos somos foráneos, asi que nos entendemos, y en toda lo que se pueda nos apoyamos",Bien,Bien,Bien,Muy bien,Bien,Muy bien,"En el área de comunicación, podría ser que en las pantallas aparezca una sección de tips de foráneos, consejos, etc.",Si,Aún no he pensado otra cosa ,Si
50,8/15/25 11:08:56,8/15/25 12:03:24,anonymous,Si,Mexico,Hidalgo,Tepeji del Rio,Méxicana,2006,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),N/A,Hidalgo,2024,Estudios,Solo(a),2024,Completamente de acuerdo,Si,No,Si,Buena,Muy bien,Neutro,Neutro,Bien,Bien,Bien,"Tener un grupo para introducir a las personas a la cuidad, salir al super o a lugares lindos de la ciudad.",Si,Porque me mude aquí,Si
51,8/15/25 11:59:17,8/15/25 12:05:20,anonymous,Si,Mexico,Veracruz,Boca del Río,Mexicana,2007,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Veracruz de Ignacio de la Llave,2025,Estudios,Solo(a),2025,Completamente de acuerdo,Si,No,Si,"Amigable, accesible y de confianza",Bien,Neutro,Muy bien,Muy bien,Muy bien,Muy bien,Que se llevaran a cabo eventos donde se preparen platillos típicos del lugar de procedencia de los foráneos para promover más conexión entre todos,Si,Porque es muy buena universidad y no esta tan lejos de donde provengo.,No
52,8/15/25 12:02:40,8/15/25 12:23:35,anonymous,Si,Mexico,Veracruz,Xalapa,Mexicana,2007,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Veracruz de Ignacio de la Llave,2025,Estudios,Solo(a),2025,Completamente de acuerdo,Si,No,Si,"Esta es mi primera semana, y he creado buenas primeras amistades que son de prepa TEC y foraneos y con todos me siento apoyada y comprendida e incluida",Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,"No se si existe, pero actividades cuturares don de los mimos estudiantes presenten de donde vienen asi creamos relaciones y conocimiento cultural asi nos sentimos todos de lo mismo",No,"No solo se enfocan en lo academico, siendo la mejor universidad con los mejores agresados, pero es por que han un equilibrio en una formación completa y te hacen ser parte de esta formación fisica mental emocional y ninguna otra escuela lo tiene",Si
53,8/15/25 14:17:15,8/15/25 14:23:47,anonymous,Si,Mexico,Veracruz,Orizaba,Mexicano,2006,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Veracruz de Ignacio de la Llave,2021,Estudios,Solo(a),2021,Completamente de acuerdo,Si,No,Si,Segura,Muy bien,Neutro,Muy bien,Bien,Muy bien,Muy bien,Conocer más personas,Si,Me gusta mucho la universidad,No
54,8/15/25 14:54:22,8/15/25 14:56:47,anonymous,Si,Mexico,Puebla,Puebla ,Mexicana y coreana ,2007,Femenino,Mujer,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
55,8/15/25 15:29:44,8/15/25 15:30:47,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2006,Femenino,Mujer,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
56,8/15/25 15:30:50,8/15/25 15:34:03,anonymous,Si,Mexico,Oaxaca,Oaxaca de Juarez,Mexicana ,2007,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Oaxaca,2025,Familiares,Con familia,2025,De acuerdo,Si,No,No,Buena,Bien,Bien,Bien,Neutro,Bien,Bien,Nada,Si,No tengo planes de moverme de ciudad ,No
